# StartTime = 12/07/2024 01:10:21.3391 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
65.852,0,14.297,1043.5,127.4,33.8,98.6,20.78431,13,29.5301,0,1.299619,0,0,0.4847515,0.1583185
66.245,0,14.297,1037.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.30057,0,0,0.4600283,0.150244
66.640,0,14.297,1036.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.301775,0,0,0.4758635,0.1554157
67.011,0,14.297,1034.75,127.4,33.8,98.6,20.39216,13,29.5301,0,1.3028,0,0,0.4697122,0.1534067
67.611,0,14.297,1036.75,127.4,33.8,98.6,20.78431,13,29.5301,0,1.303726,0,0,0.4211259,0.1375386
68.101,0,14.292,1035,129.2,33.8,100.4,20.78431,13,29.5301,0,1.304528,0,0,0.4096738,0.1337983
68.503,0,14.292,1037.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.306378,0,0,0.4608972,0.1505277
68.852,0,14.292,1029.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.30728,0,0,0.4696834,0.1533973
69.271,0,14.292,1032.25,129.2,33.8,100.4,20.39216,13,29.5301,0,1.308228,0,0,0.4396526,0.1435893
69.662,0,14.292,1024,129.2,33.8,100.4,20.78431,13,29.5301,0,1.309056,0,0,0.4387563,0.1432966
70.086,0,14.292,1028.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.310015,0,0,0.4246183,0.1386792
70.492,0,14.292,1034.75,129.2,33.8,100.4,20.78431,13,29.5301,0,1.311108,0,0,0.4820288,0.1574293
70.923,0,14.292,1030.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.312033,0,0,0.418426,0.1366568
71.295,0,14.292,1023,129.2,33.8,100.4,20.78431,13,29.5301,0,1.312976,0,0,0.4175689,0.1363768
71.813,0,14.292,1026.75,129.2,33.8,100.4,20.78431,13,29.5301,0,1.314083,0,0,0.45815,0.1496305
72.205,0,14.355,1025.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.315001,0,0,0.4696403,0.1533832
72.675,0,14.355,1020,129.2,33.8,100.4,20.39216,13,29.5301,0,1.316146,0,0,0.4131042,0.1349187
73.065,0,14.355,1021.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.317015,0,0,0.3999004,0.1306064
73.468,0,14.355,1014.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.318057,0,0,0.4130915,0.1349146
73.859,0,14.355,1009,129.2,33.8,100.4,20.78431,13,29.5301,0,1.319022,0,0,0.4448406,0.1452837
74.291,0,14.355,1013.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.319975,0,0,0.4368836,0.142685
74.634,0,14.355,1011.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.320861,0,0,0.4307054,0.1406672
75.035,0,14.355,1007.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.321879,0,0,0.4306922,0.1406629
75.349,0,14.355,1011.25,129.2,33.8,100.4,20.39216,13,29.5301,0,1.322683,0,0,0.4121457,0.1346057
75.935,0,14.355,1009.25,129.2,33.8,100.4,20.39216,13,29.5301,0,1.323536,0,0,0.4121457,0.1346057
76.433,0,14.37,1011,129.2,33.8,100.4,20.78431,13,29.5301,0,1.32433,0,0,0.4218407,0.137772
76.816,0,14.37,1006,129.2,33.8,100.4,20.39216,13,29.5301,0,1.326053,0,0,0.4563146,0.1490311
77.165,0,14.37,1003.75,129.2,33.8,100.4,21.17647,13,29.5301,0,1.326948,0,0,0.4588781,0.1498683
77.594,0,14.37,1004.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.327847,0,0,0.4262141,0.1392004
77.950,0,14.37,1006,129.2,33.8,100.4,20.78431,13,29.5301,0,1.328644,0,0,0.4138601,0.1351656
